sex;company_type;car;phone_number;fraud;surname;zip;age;name
female;VZW;Lynk;*;0;*;2***;[20, 40[;*
male;CV;Volvo;*;0;*;4***;[40, 60[;*
female;NV;Hyundai;*;1;*;9***;[40, 60[;*
male;CV;Nissan;*;0;*;3***;[20, 40[;*
female;VZW;Peugeot;*;0;*;9***;[40, 60[;*
male;NV;Peugeot;*;1;*;8***;[60, 80[;*
male;VZW;Nissan;*;1;*;9***;[20, 40[;*
male;NV;Hyundai;*;0;*;3***;[60, 80[;*
female;VZW;Peugeot;*;0;*;8***;[60, 80[;*
female;NV;Kia;*;0;*;1***;[20, 40[;*
female;VZW;BMW;*;1;*;4***;[60, 80[;*
male;CV;BMW;*;1;*;3***;[60, 80[;*
female;BV;Kia;*;0;*;7***;[20, 40[;*
male;NV;Ford;*;0;*;3***;[60, 80[;*
female;VZW;Volvo;*;1;*;4***;[40, 60[;*
male;CV;Dacia;*;0;*;2***;[20, 40[;*
male;BV;BMW;*;1;*;8***;[20, 40[;*
female;CV;BMW;*;1;*;3***;[20, 40[;*
female;CV;BMW;*;0;*;8***;[40, 60[;*
female;VZW;Lynk;*;0;*;2***;[20, 40[;*
male;CV;BMW;*;1;*;1***;[20, 40[;*
female;CV;Hyundai;*;0;*;3***;[60, 80[;*
female;VZW;Volvo;*;0;*;7***;[20, 40[;*
male;VZW;Hyundai;*;1;*;1***;[40, 60[;*
female;VZW;Lynk;*;0;*;7***;[20, 40[;*
female;BV;Lynk;*;0;*;8***;[60, 80[;*
female;NV;Volvo;*;0;*;8***;[40, 60[;*
male;VZW;Fiat;*;0;*;8***;[60, 80[;*
male;VZW;Fiat;*;1;*;2***;[40, 60[;*
female;NV;Volvo;*;0;*;3***;[20, 40[;*
male;BV;BMW;*;1;*;1***;[40, 60[;*
female;NV;Fiat;*;0;*;3***;[40, 60[;*
female;BV;Ford;*;1;*;9***;[60, 80[;*
male;VZW;Hyundai;*;0;*;4***;[40, 60[;*
female;CV;Dacia;*;0;*;2***;[60, 80[;*
female;CV;Kia;*;1;*;9***;[60, 80[;*
female;CV;Hyundai;*;1;*;7***;[40, 60[;*
*;*;*;*;0;*;*;*;*
female;CV;BMW;*;1;*;3***;[40, 60[;*
male;NV;BMW;*;1;*;2***;[40, 60[;*
*;*;*;*;0;*;*;*;*
male;VZW;Kia;*;0;*;6***;[40, 60[;*
*;*;*;*;0;*;*;*;*
*;*;*;*;0;*;*;*;*
male;VZW;BMW;*;0;*;8***;[20, 40[;*
female;CV;Peugeot;*;1;*;2***;[60, 80[;*
female;CV;Audi;*;0;*;6***;[60, 80[;*
male;NV;Mazda;*;0;*;7***;[20, 40[;*
female;NV;BMW;*;1;*;4***;[40, 60[;*
male;BV;Peugeot;*;1;*;3***;[40, 60[;*
male;NV;BMW;*;1;*;2***;[60, 80[;*
