name;age;sex;marital-status;occupation;lat;lon
*;[25, 30[;Male;Married-civ-spouse;Machine-op-inspct;50.*****;5.*****
*;[25, 30[;Male;Married-civ-spouse;Craft-repair;50.*****;4.*****
*;*;*;*;Priv-house-serv;*;*
*;[45, 50[;Female;Married-spouse-absent;Priv-house-serv;50.*****;4.*****
*;[20, 25[;Female;Never-married;Sales;50.*****;4.*****
*;[50, 55[;Female;Married-civ-spouse;Adm-clerical;50.*****;3.*****
*;[45, 50[;Male;Married-civ-spouse;Prof-specialty;50.*****;4.*****
*;[50, 55[;Male;Divorced;Farming-fishing;50.*****;4.*****
*;[45, 50[;Female;Divorced;Exec-managerial;50.*****;6.*****
*;[45, 50[;Male;Married-civ-spouse;Craft-repair;51.*****;3.*****
*;[35, 40[;Female;Divorced;Prof-specialty;51.*****;4.*****
*;[35, 40[;Male;Married-spouse-absent;Adm-clerical;51.*****;4.*****
*;[55, 60[;Male;Married-civ-spouse;Sales;50.*****;4.*****
*;[15, 20[;Male;Never-married;Farming-fishing;50.*****;4.*****
*;[25, 30[;Male;Never-married;Craft-repair;50.*****;4.*****
*;[30, 35[;Female;Never-married;Farming-fishing;50.*****;5.*****
*;[50, 55[;Male;Married-civ-spouse;Machine-op-inspct;50.*****;4.*****
*;[45, 50[;Female;Never-married;Priv-house-serv;51.*****;5.*****
*;[40, 45[;Female;Widowed;Adm-clerical;50.*****;4.*****
*;[25, 30[;Male;Married-civ-spouse;Other-service;50.*****;4.*****
*;[25, 30[;Male;Never-married;Craft-repair;50.*****;4.*****
*;[40, 45[;Male;Married-civ-spouse;Craft-repair;50.*****;3.*****
*;[30, 35[;Male;Never-married;Craft-repair;50.*****;3.*****
*;[20, 25[;Male;Never-married;Handlers-cleaners;50.*****;5.*****
*;[20, 25[;Female;Never-married;Sales;50.*****;5.*****
*;[50, 55[;Male;Divorced;Machine-op-inspct;50.*****;3.*****
*;[30, 35[;Male;Never-married;Farming-fishing;51.*****;4.*****
*;[30, 35[;Female;Separated;Machine-op-inspct;50.*****;4.*****
*;[35, 40[;Male;Married-civ-spouse;Farming-fishing;50.*****;5.*****
*;[50, 55[;Male;Married-civ-spouse;Adm-clerical;51.*****;4.*****
*;[35, 40[;Male;Married-civ-spouse;Machine-op-inspct;50.*****;4.*****
*;[50, 55[;Male;Married-civ-spouse;Sales;51.*****;4.*****
*;[25, 30[;Female;Never-married;Sales;50.*****;4.*****
*;[30, 35[;Male;Never-married;Craft-repair;50.*****;4.*****
*;[50, 55[;Male;Married-civ-spouse;Handlers-cleaners;50.*****;3.*****
*;[30, 35[;Male;Never-married;Craft-repair;51.*****;5.*****
*;[30, 35[;Male;Married-civ-spouse;Craft-repair;50.*****;3.*****
*;[30, 35[;Male;Married-civ-spouse;Machine-op-inspct;50.*****;3.*****
*;[25, 30[;Male;Married-civ-spouse;Craft-repair;50.*****;4.*****
*;[45, 50[;Female;Divorced;Adm-clerical;50.*****;4.*****
*;[25, 30[;Female;Never-married;Tech-support;50.*****;5.*****
*;[30, 35[;Male;Married-civ-spouse;Transport-moving;50.*****;3.*****
*;[35, 40[;Female;Separated;Exec-managerial;50.*****;3.*****
*;[50, 55[;Female;Widowed;Adm-clerical;50.*****;3.*****
*;[25, 30[;Female;Never-married;Prof-specialty;50.*****;4.*****
*;[60, 65[;Male;Married-civ-spouse;Transport-moving;50.*****;5.*****
*;[50, 55[;Male;Married-civ-spouse;Craft-repair;50.*****;5.*****
*;[40, 45[;Male;Married-civ-spouse;Prof-specialty;50.*****;5.*****
*;[25, 30[;Male;Married-civ-spouse;Farming-fishing;51.*****;4.*****
*;[20, 25[;Female;Never-married;Other-service;50.*****;4.*****
*;[40, 45[;Male;Never-married;Prof-specialty;50.*****;4.*****
*;[35, 40[;Male;Married-civ-spouse;Sales;50.*****;3.*****
*;[30, 35[;Male;Never-married;Adm-clerical;51.*****;3.*****
*;[25, 30[;Female;Never-married;Exec-managerial;51.*****;4.*****
*;[25, 30[;Male;Married-civ-spouse;Transport-moving;50.*****;4.*****
*;*;*;*;Prof-specialty;*;*
*;[40, 45[;Male;Married-civ-spouse;Craft-repair;51.*****;4.*****
*;[20, 25[;Male;Never-married;Exec-managerial;50.*****;4.*****
*;[45, 50[;Male;Married-civ-spouse;Exec-managerial;51.*****;3.*****
*;[45, 50[;Female;Divorced;Adm-clerical;50.*****;4.*****
*;[55, 60[;Male;Divorced;Other-service;50.*****;3.*****
*;[20, 25[;Male;Married-civ-spouse;Protective-serv;50.*****;4.*****
*;[50, 55[;Male;Divorced;Craft-repair;50.*****;4.*****
*;[20, 25[;Female;Never-married;Prof-specialty;51.*****;4.*****
*;[30, 35[;Male;Never-married;Craft-repair;50.*****;4.*****
*;[15, 20[;Female;Never-married;Handlers-cleaners;51.*****;3.*****
*;[50, 55[;Male;Married-civ-spouse;Prof-specialty;50.*****;5.*****
*;[55, 60[;Male;Married-civ-spouse;Prof-specialty;50.*****;5.*****
*;[25, 30[;Male;Never-married;Sales;51.*****;3.*****
*;[30, 35[;Female;Never-married;Exec-managerial;50.*****;4.*****
*;[35, 40[;Female;Never-married;Other-service;50.*****;4.*****
*;[60, 65[;Male;Married-civ-spouse;Machine-op-inspct;50.*****;4.*****
*;[35, 40[;Male;Married-civ-spouse;Prof-specialty;50.*****;3.*****
*;[35, 40[;Female;Married-spouse-absent;Protective-serv;50.*****;3.*****
*;[30, 35[;Male;Married-civ-spouse;Prof-specialty;51.*****;3.*****
*;[30, 35[;Female;Never-married;Adm-clerical;51.*****;3.*****
*;[35, 40[;Female;Never-married;Machine-op-inspct;51.*****;3.*****
*;[35, 40[;Male;Never-married;Farming-fishing;51.*****;4.*****
*;[25, 30[;Male;Never-married;Handlers-cleaners;50.*****;4.*****
*;[45, 50[;Male;Married-civ-spouse;Protective-serv;50.*****;4.*****
*;[25, 30[;Female;Never-married;Adm-clerical;50.*****;4.*****
*;[25, 30[;Male;Never-married;Prof-specialty;51.*****;4.*****
*;[30, 35[;Female;Divorced;Tech-support;50.*****;3.*****
*;[30, 35[;Male;Married-civ-spouse;Craft-repair;51.*****;5.*****
*;[20, 25[;Male;Never-married;Adm-clerical;51.*****;5.*****
*;[30, 35[;Male;Married-civ-spouse;Machine-op-inspct;51.*****;4.*****
*;[40, 45[;Male;Married-civ-spouse;Other-service;51.*****;4.*****
*;[55, 60[;Male;Married-civ-spouse;Craft-repair;50.*****;4.*****
*;*;*;*;Transport-moving;*;*
*;[30, 35[;Male;Married-civ-spouse;Machine-op-inspct;51.*****;4.*****
*;[45, 50[;Male;Married-civ-spouse;Sales;50.*****;4.*****
*;[35, 40[;Male;Married-civ-spouse;Adm-clerical;50.*****;5.*****
*;[35, 40[;Female;Married-spouse-absent;Sales;50.*****;5.*****
*;[75, 80[;Male;Married-civ-spouse;Sales;51.*****;4.*****
*;[25, 30[;Male;Married-civ-spouse;Handlers-cleaners;51.*****;5.*****
*;[30, 35[;Male;Married-civ-spouse;Craft-repair;50.*****;4.*****
*;[45, 50[;Female;Married-civ-spouse;Other-service;50.*****;2.*****
*;[30, 35[;Female;Never-married;Other-service;51.*****;5.*****
*;[55, 60[;Female;Widowed;Adm-clerical;51.*****;4.*****
*;[25, 30[;Female;Never-married;Adm-clerical;51.*****;4.*****
*;[35, 40[;Male;Married-civ-spouse;Transport-moving;50.*****;4.*****
*;[25, 30[;Female;Married-civ-spouse;Other-service;50.*****;3.*****
*;[25, 30[;Female;Married-civ-spouse;Machine-op-inspct;51.*****;4.*****
*;[35, 40[;Female;Divorced;Other-service;50.*****;3.*****
*;*;*;*;Exec-managerial;*;*
*;[20, 25[;Female;Never-married;Other-service;50.*****;3.*****
*;[50, 55[;Male;Married-civ-spouse;Sales;51.*****;2.*****
*;[30, 35[;Male;Never-married;Prof-specialty;51.*****;4.*****
*;[35, 40[;Male;Divorced;Handlers-cleaners;50.*****;4.*****
*;[50, 55[;Male;Married-civ-spouse;Prof-specialty;50.*****;4.*****
*;[25, 30[;Male;Married-civ-spouse;Sales;50.*****;3.*****
